filename,avg_energy,max_energy,avg_zcr,max_zcr,activity_level_adjusted 
20250710_1400.wav,47.32114545,77.94113642,1.603906628,1.667806546,Low
20250710_1418.wav,,,,,Moderate
20250710_1500.wav,,,,,Moderate
20250710_1515.wav,45.90557915,58.75270233,1.611780683,1.650219834,Low
20250710_1520.wav,,,,,Moderate
20250710_1530.wav,48.13456942,78.0333151,1.603421065,1.641426478,Moderate
20250710_1545.wav,47.58040622,73.56830189,1.601789071,1.650219834,Moderate
20250711_1510.wav,,,,,Moderate
20250711_1515.wav,47.22965487,75.58023103,1.5825968,1.645334636,Low
20250711_1530.wav,47.38250749,81.12073964,1.607286093,1.640449438,Low
20250711_1545.wav,48.02435782,58.34692927,1.606252705,1.644357596,Moderate
20250711_1600.wav,48.74943148,62.70129682,1.59477849,1.63556424,Moderate
20250714_1833.wav,,,,,Moderate
20250714_1845.wav,45.44027819,74.93563541,1.59546614,1.639472399,Low
20250714_1910.wav,,,,,Moderate
20250714_1915.wav,47.97752372,88.13502001,1.551962662,1.607230093,Moderate
20250714_1920.wav,,,,,Moderate
20250714_1951.wav,,,,,Moderate
20250714_2006.wav,,,,,Moderate
20250714_2010.wav,44.33230666,54.71648029,1.56041028,1.617000489,Low
20250714_2015.wav,,,,,Moderate
20250715_0900.wav,43.28395039,74.35052022,1.510507349,1.575964827,Low
20250715_0915.wav,49.84822041,79.07092916,1.512620558,1.574987787,Moderate
20250715_0930.wav,49.3744351,161.2093713,1.557577596,1.622862726,Moderate
20250715_0945.wav,49.41152343,71.00127649,1.510189959,1.604298974,Moderate
20250715_1000.wav,51.21645194,62.85880776,1.510965087,1.59159746,High
20250715_1015.wav,52.1916574,63.35091716,1.507560231,1.566194431,High
20250715_1030.wav,45.76077175,53.28676052,1.506731886,1.559355154,Low
20250715_1045.wav,54.79201064,80.46465993,1.507649969,1.566194431,High
20250715_1100.wav,52.92494474,167.7347088,1.505932237,1.56912555,High
20250715_1115.wav,50.64245504,79.51543848,1.505627195,1.56717147,Moderate
20250715_1130.wav,50.71996053,57.00180785,1.505670151,1.564240352,Moderate
20250715_1145.wav,49.93736026,60.40501159,1.505986846,1.56717147,Moderate
20250715_1200.wav,51.44884865,60.34962997,1.507232928,1.56912555,High
20250715_1215.wav,52.77128404,92.9908767,1.503364595,1.564240352,High
20250715_1230.wav,54.15896145,173.1108246,1.502999727,1.557401075,High
